,place_name,place_id,lat,lng,type
52,Zero-Gravity,ChIJC9QDLl_GhkcRpj3YsU4Bddo,45.47890839999999,9.237261399999998,amusement_park
53,The Gate - Dentro l'Abisso,ChIJ3xBGkHPFhkcRdMT1ZzbANoo,45.44172830000001,9.2391957,amusement_park
54,Laghetto del Parco della Vettabbia,ChIJixJbL6_FhkcRBqzTM-E7_2U,45.4224061,9.2258566,amusement_park
55,Children's Park,ChIJgwixYxvChkcRJAMzHilPvG4,45.4600635,9.102843,amusement_park
56,Area Relax,ChIJs42jdPbHhkcR9lbqgCVMpts,45.5218511,9.212989499999999,amusement_park
57,Clues Hunt,ChIJmX4r9ULHhkcRs5Kal4pXONU,45.5195216,9.223455699999997,amusement_park
58,LightingBall Milano - Calcio al buio,ChIJ9R4_SqnBhkcRG2HMx-GU32c,45.525602,9.158123000000002,amusement_park
59,Horror VR Experience,ChIJWQuO6x7JhkcR1zuS4kw3FrU,45.47442789999999,9.285758500000002,amusement_park
60,Acquario Civico di Milano,ChIJbbKLXknBhkcR0NaOVaDdRZg,45.4739911,9.180730699999998,aquarium
61,Animal Garden di Bidoggia,ChIJLeWLeODGhkcRp7b4iuJwY5Y,45.49201799999999,9.216032499999997,aquarium
62,Galleria Pace s.r.l.,ChIJxZJivLTGhkcR4xQY8Vh0PHE,45.4735062,9.187541,art_gallery
63,Il Ponte Casa d'Aste - Via Pitteri 8/10,ChIJAd5jaULGhkcRo4f0M6B4TGU,45.4736291,9.2498494,art_gallery
64,Revel - Scalo d'Isola,ChIJF3V4fCzBhkcRJW7-elgRWMg,45.49089000000001,9.189006,art_gallery
65,ProjectB Gallery,ChIJaR2GY7HGhkcRCWJMIMB7iZY,45.482763,9.183392999999999,art_gallery
66,Gruppo bancario Credito Valtellinese,ChIJN-SinVDBhkcRrj_6RUL-1mI,45.46566540000001,9.1728781,art_gallery
67,Galleria d'arte contemporanea l'Affiche,ChIJT3UXkqvGhkcRIKTXEjtKsWY,45.4644508,9.178411500000001,art_gallery
68,Gió Marconi,ChIJtf5CuwcyVUARYQ2uhf7-wL8,45.47892100000001,9.207637,art_gallery
69,Furlarte di Furlanetto Luca,ChIJHR2zG3vBhkcR-umKV-uqYEA,45.4679941,9.148270600000002,art_gallery
70,Fondazione Forma Meravigli,ChIJT7hxGQbEhkcRipRHWi6dxAs,45.46580280000001,9.1842278,art_gallery
71,Valais Poster Stampe Foto sas,ChIJT554j8vGhkcRsHKZL2bnsiQ,45.4534072,9.1649784,art_gallery
72,Farsettiarte,ChIJ2Sha1bbGhkcRWHuiDYPPbH4,45.4719162,9.1950444,art_gallery
73,Brand New Gallery,ChIJWaTU_S7BhkcRhQxjfgIrmCc,45.4896309,9.183390000000001,art_gallery
74,Galleria Milano - Arte Moderna e Contemporanea,ChIJS6BvqbfGhkcR2FCyptaTngY,45.4746594,9.195863800000001,art_gallery
75,SpazioFMG per l'Architettura,ChIJfScFGeTDhkcRpUkGe-jfEFU,45.45422079999999,9.163751999999999,art_gallery
76,B/LOFT Intesa Sanpaolo,ChIJEezn4NHBhkcRoQCDTVOZyHk,45.4964641,9.1120419,art_gallery
77,a+mbookstore,ChIJyealfcHGhkcR53sbCiZ_Nes,45.479941,9.208660499999999,art_gallery
78,Cornici Spontini Milano,ChIJG-gRyOnGhkcRoxp3CeIYago,45.4815346,9.2141096,art_gallery
79,Co. Srl,ChIJYSUwokzBhkcR3Sy3hoRAVFo,45.4722786,9.1850597,art_gallery
80,STUDIO AKKA,ChIJWZ8nrAfEhkcRIWw6iXaACJc,45.4408929,9.212420699999997,art_gallery
81,mc2gallery,ChIJFcj37wbEhkcRelaTUX9wcOY,45.4847392,9.2209955,art_gallery
82,Credito Artigiano Agenzia 2,ChIJceFw2jbEhkcRHB2ee8-txr8,45.441152,9.214351200000001,atm
83,Banca Popolare di Sondrio S.p.A.,ChIJl--F_knEhkcRuadYzqPuTp4,45.4367102,9.2150914,atm
84,Esselunga,ChIJSyz6E-rAhkcRf3CWhaWr0-o,45.51237979999999,9.173460599999999,atm
85,Banca Popolare di Milano,ChIJydYPHizEhkcRXGSMe1vy1UE,45.4497068,9.220653499999997,atm
86,Credito Artigiano Agenzia 6,ChIJm1vubZPAhkcRMZ_l4i4LkdY,45.51821839999999,9.1708826,atm
87,Banco BPM Spa,ChIJR1EmR2jHhkcRIBth2F0j_3M,45.5199761,9.2266417,atm
88,CheBanca! Milano Sempione,ChIJtYAYLhTBhkcR9HgTBHxklbo,45.4832598,9.1632061,atm
89,Deutsche Bank,ChIJ1wZB4KjGhkcRzMk9uetLLqw,45.466142,9.186096,atm
90,Banca Profilo Spa,ChIJnxljEQTEhkcRQRc_wgJfDZg,45.4656752,9.1991034,atm
91,Cassa di Risparmio di Parma e Piacenza Spa,ChIJfz8fLdbAhkcREtFEGtAovOc,45.49701699999999,9.1849889,atm
92,Banca Popolare di Milano Spa,ChIJCbwttZPAhkcRA5E5po7ypEg,45.5200469,9.169856700000002,atm
93,INTESA SANPAOLO S.P.A.,ChIJtagbM4TBhkcRzQ2QKn860a8,45.4684681,9.129162899999997,atm
94,Unicredit,ChIJuT9H2uLDhkcR0IeZBPBRSrE,45.45760120000001,9.168971400000002,atm
95,Deutsche Bank,ChIJ1wZB4KjGhkcRe7p_afrvuqA,45.4613225,9.1915871,atm
96,Credito Valtellinese Spa Agenzia 3,ChIJoVIAUT3BhkcR2i6e5_lT2iY,45.48777029999999,9.168567499999998,atm
97,Intesa Sanpaolo S.p.A.,ChIJI-PBOlzBhkcRMfl7ufTGSRk,45.4668018,9.150357,atm
98,Banca Sella Spa,ChIJsQ8bQ6nGhkcRmi6AMtU8wcQ,45.46179959999999,9.1896714,atm
99,Intesa Sanpaolo S.p.A. - Punto Consulenza,ChIJaUsMSC3ChkcR_-RxGUDbxcY,45.4540821,9.1332781,atm
100,Credito Valtellinese Spa,ChIJUfBEN2LPhkcRSV3NGa5nqD0,45.42693209999999,9.2649323,atm
101,Banca Sella Spa,ChIJ9Z6fOZ_GhkcREvk6Vs6QigE,45.4605472,9.207526099999999,atm
102,California Bakery,ChIJs6BQZUrBhkcR2zi88W4fDXw,45.4767309,9.184025900000002,bakery
103,California Bakery,ChIJ9d-KW73GhkcRrep0NxRr4Cg,45.46688229999999,9.2073638,bakery
104,California Bakery,ChIJb-JZ3ajGhkcR-NAoE7oHIl4,45.46133340000001,9.192342499999999,bakery
105,American Donuts,ChIJHVeIbcTGhkcRkJrp9n354XM,45.4818255,9.2061782,bakery
106,Pasticceria Martesana,ChIJ87zdNCjHhkcR2CJUO4Q_Zs0,45.4958791,9.203031,bakery
107,Princi,ChIJ3fKEnDXBhkcRlFV34BVFmFY,45.4778574,9.184845200000002,bakery
108,California Bakery,ChIJr0ANWgfEhkcR6D6DXT2-8WU,45.4532731,9.180685500000001,bakery
109,Delicatessen SRL,ChIJ18Wdh6vGhkcR5QoAXrmGCm4,45.4629304,9.1868413,bakery
110,Pasticceria San Gregorio S.a.s.,ChIJ9aOD_sDGhkcRNP8QxUzJI9A,45.4777433,9.207859799999998,bakery
111,Dulcis in Fundo,ChIJn3X5PyfHhkcRoDlmW-lVx4o,45.4955053,9.209689299999999,bakery
112,California Bakery,ChIJr0ANWgfEhkcRRhjY51_cJjo,45.4623056,9.1740721,bakery
113,Farmavenda Spa,ChIJBWc7hD7BhkcRzoa5WvWBic8,45.48293150000001,9.1698475,bakery
114,T’a Milano,ChIJr9y-cOjDhkcRy3_U7DuIaL8,45.46629,9.187640400000001,bakery
115,Pasticceria Cucchi Srl,ChIJHbneI_7DhkcRtYbVVMCFMNI,45.458374,9.1774244,bakery
116,California Bakery Cooking Lab Piazza San Simpliciano Milano,ChIJ049ShTTBhkcRu3i120h0GS8,45.4737691,9.1843551,bakery
117,Panificio Maria Vailati,ChIJB2_rj8PGhkcR3fMTtiHNl28,45.4821254,9.2074991,bakery
118,Cremeria Sardegna Di Pace Angelo,ChIJHzVbsGPBhkcRT81OZeV_mAQ,45.46382599999999,9.152360599999998,bakery
119,Caffeteria Antica Pasticceria Sicilia,ChIJZ1LbF-nGhkcRrnbDSFV8_6Y,45.4810621,9.216572,bakery
120,Bar Pasticceria Moriondo,ChIJc-Q_NmTBhkcRnta4td86RNk,45.467598,9.154235,bakery
121,Papaveri e Papere S.n.c. di Paolo Panzeri e Dario Dimasi,ChIJ173d6NrDhkcRXEyQ7WNmpHc,45.4532495,9.1471822,bakery
122,Credito Artigiano Agenzia 2,ChIJceFw2jbEhkcRHB2ee8-txr8,45.441152,9.214351200000001,bank
123,Banca Popolare di Sondrio S.p.A.,ChIJl--F_knEhkcRuadYzqPuTp4,45.4367102,9.2150914,bank
124,Banca Popolare di Milano,ChIJydYPHizEhkcRXGSMe1vy1UE,45.4497068,9.220653499999997,bank
125,Credito Artigiano Agenzia 6,ChIJm1vubZPAhkcRMZ_l4i4LkdY,45.51821839999999,9.1708826,bank
126,Banco BPM Spa,ChIJR1EmR2jHhkcRIBth2F0j_3M,45.5199761,9.2266417,bank
127,CheBanca! Milano Sempione,ChIJtYAYLhTBhkcR9HgTBHxklbo,45.4832598,9.1632061,bank
128,Deutsche Bank,ChIJ1wZB4KjGhkcRzMk9uetLLqw,45.466142,9.186096,bank
129,Banca Profilo Spa,ChIJnxljEQTEhkcRQRc_wgJfDZg,45.4656752,9.1991034,bank
130,Cassa di Risparmio di Parma e Piacenza Spa,ChIJfz8fLdbAhkcREtFEGtAovOc,45.49701699999999,9.1849889,bank
131,Banca Popolare di Milano Spa,ChIJCbwttZPAhkcRA5E5po7ypEg,45.5200469,9.169856700000002,bank
132,UBI Factor S.p.A.,ChIJ6Qck07PGhkcRKAAyth1BQ3k,45.4694999,9.1902057,bank
133,INTESA SANPAOLO S.P.A.,ChIJtagbM4TBhkcRzQ2QKn860a8,45.4684681,9.129162899999997,bank
